green,323863
blue,297936
purple,254289
red,72067
pink,135741
yellow,45678
orange,54553
brown,77001
teal,58757
lightblue,61148
grey,53757
limegreen,33345
magenta,45192
lightgreen,52321
brightgreen,20220
skyblue,36608
cyan,25538
turquoise,30143
darkblue,24765
darkgreen,25190
aqua,24383
olive,30913
navyblue,21669
lavender,31029
fuchsia,23718
black,13953
royalblue,16022
violet,34281
hotpink,14869
tan,24537
forestgreen,20018
lightpurple,30950
neongreen,8904
yellowgreen,17121
maroon,16740
darkpurple,17535
salmon,15066
peach,12420
beige,14680
lime,12257
seafoamgreen,14733
mustard,9108
brightblue,9044
lilac,16358
seagreen,12763
palegreen,14123
bluegreen,12032
mint,11488
lightbrown,12883
mauve,19947
darkred,6850
greyblue,11647
burntorange,7582
darkpink,12452
indigo,10837
periwinkle,11376
bluegrey,10418
lightpink,8583
aquamarine,8545
gold,6578
brightpurple,7373
grassgreen,7902
redorange,4598
bluepurple,6955
greygreen,7534
kellygreen,5277
puke,7213
rose,9291
darkteal,5231
babyblue,6825
paleblue,7419
greenyellow,5345
brickred,5192
lightgrey,3916
darkgrey,4626
white,2260
brightpink,4237
chartreuse,4610
purpleblue,5253
royalpurple,5591
burgundy,4976
goldenrod,3593
darkbrown,4003
lightorange,3943
darkorange,3674
redbrown,4901
paleyellow,2871
plum,5880
offwhite,2672
pinkpurple,5852
darkyellow,3498
lightyellow,2447
mustardyellow,3139
brightred,1749
peagreen,4870
khaki,4965
orangered,2290
crimson,2859
deepblue,3312
springgreen,4612
cream,2159
palepink,3211
yelloworange,2039
deeppurple,4070
pinkred,2649
pastelgreen,4148
sand,3716
rust,3191
lightred,3085
taupe,3888
armygreen,3503
robinseggblue,3415
huntergreen,2893
greenblue,3237
lightteal,3513
cerulean,3324
flesh,2402
orangebrown,2306
slateblue,2896
slate,3163
coral,2234
blueviolet,2426
ochre,2832
leafgreen,2758
electricblue,1882
seablue,2706
midnightblue,2005
steelblue,2425
brick,2279
palepurple,2975
mediumblue,2357
burntsienna,2034
darkmagenta,1904
eggplant,2349
sage,2367
darkturquoise,1687
puce,2775
bloodred,1203
neonpurple,1618
mossgreen,2487
terracotta,1899
oceanblue,2093
yellowbrown,1617
brightyellow,642
dustyrose,1935
applegreen,1721
neonpink,1112
skin,1341
cornflowerblue,1999
lightturquoise,1578
wine,1489
deepred,940
azure,1645
